Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
2024-2025,Brentford,28,26.6,47.7,33,363,2970,33.0,56,37,93,51,5,5,48,1.0,49.7,45.8,36.1,81.9,516,1180
2024-2025,Brighton,31,25.6,52.5,33,363,2970,33.0,51,33,84,46,5,5,72,3.0,50.7,46.9,35.3,82.2,696,1332
2024-2025,Chelsea,29,24.4,58.4,33,363,2970,33.0,56,43,99,53,3,4,94,1.0,61.3,58.1,47.6,105.7,762,1430
2024-2025,Crystal Palace,29,26.9,43.3,33,363,2970,33.0,39,31,70,37,2,3,74,4.0,49.6,47.2,37.6,84.9,440,1013
2024-2025,Everton,26,28.8,40.3,33,363,2970,33.0,31,20,51,29,2,2,73,2.0,35.9,34.3,27.2,61.5,421,881
2024-2025,Fulham,26,28.7,51.9,33,363,2970,33.0,47,40,87,44,3,4,69,2.0,42.8,39.6,33.1,72.7,680,1338
2024-2025,Ipswich Town,32,26.5,40.5,33,363,2970,33.0,32,24,56,30,2,2,81,4.0,30.3,28.8,21.0,49.8,436,804
2024-2025,Leicester City,30,27.3,45.5,33,363,2970,33.0,27,21,48,25,2,2,76,0.0,28.0,26.5,22.2,48.7,519,954
2024-2025,Liverpool,24,27.9,57.7,33,363,2970,33.0,75,56,131,66,9,9,60,2.0,72.2,65.2,52.7,117.9,721,1673
2024-2025,Manchester City,29,27.5,61.4,33,363,2970,33.0,63,46,109,61,2,3,55,1.0,59.8,57.4,48.1,105.5,991,1675
2024-2025,Manchester Utd,31,26.3,53.0,33,363,2970,33.0,36,24,60,33,3,3,74,3.0,43.4,41.0,32.5,73.5,586,1215
2024-2025,Newcastle Utd,24,28.1,50.3,33,363,2970,33.0,60,46,106,57,3,4,58,1.0,55.4,52.2,40.4,92.6,641,1316
2024-2025,Nott'ham Forest,23,26.9,40.1,32,352,2880,32.0,50,36,86,47,3,3,67,2.0,39.0,36.7,28.6,65.3,537,925
2024-2025,Southampton,35,26.0,49.8,33,363,2970,33.0,23,14,37,23,0,2,82,3.0,29.6,27.9,22.5,50.4,588,1023
2024-2025,Tottenham,31,25.9,56.6,32,352,2880,32.0,57,44,101,55,2,3,62,1.0,52.2,49.8,39.6,89.5,727,1437
2024-2025,West Ham,27,28.8,47.7,33,363,2970,33.0,34,21,55,31,3,3,71,3.0,41.0,38.7,29.3,68.0,544,1056
2024-2025,Wolves,30,27.6,47.3,33,363,2970,33.0,47,36,83,47,0,0,73,2.0,38.0,38.0,30.5,68.5,516,1010
